region,x,y,z,network,hemisphere,structure
7Networks_LH_Vis_1,-33.0,-42.0,-21.0,Vis,L,cortical
7Networks_LH_Vis_2,-30.0,-33.0,-18.0,Vis,L,cortical
7Networks_LH_Vis_3,-36.0,-62.0,-17.0,Vis,L,cortical
7Networks_LH_Vis_4,-24.0,-55.0,-8.0,Vis,L,cortical
7Networks_LH_Vis_5,-23.0,-73.0,-10.0,Vis,L,cortical
7Networks_LH_Vis_6,-36.0,-81.0,-16.0,Vis,L,cortical
7Networks_LH_Vis_7,-18.0,-37.0,-12.0,Vis,L,cortical
7Networks_LH_Vis_8,-45.0,-70.0,-8.0,Vis,L,cortical
7Networks_LH_Vis_9,-17.0,-86.0,-15.0,Vis,L,cortical
7Networks_LH_Vis_10,-12.0,-62.0,-5.0,Vis,L,cortical
7Networks_LH_Vis_11,-7.0,-76.0,-6.0,Vis,L,cortical
7Networks_LH_Vis_12,-24.0,-97.0,-12.0,Vis,L,cortical
7Networks_LH_Vis_13,-13.0,-43.0,-5.0,Vis,L,cortical
7Networks_LH_Vis_14,-41.0,-87.0,-3.0,Vis,L,cortical
7Networks_LH_Vis_15,-7.0,-98.0,-7.0,Vis,L,cortical
7Networks_LH_Vis_16,-14.0,-57.0,1.0,Vis,L,cortical
7Networks_LH_Vis_17,-46.0,-73.0,6.0,Vis,L,cortical
7Networks_LH_Vis_18,-5.0,-88.0,2.0,Vis,L,cortical
7Networks_LH_Vis_19,-24.0,-96.0,6.0,Vis,L,cortical
7Networks_LH_Vis_20,-13.0,-49.0,4.0,Vis,L,cortical
7Networks_LH_Vis_21,-7.0,-74.0,9.0,Vis,L,cortical
7Networks_LH_Vis_22,-19.0,-65.0,7.0,Vis,L,cortical
7Networks_LH_Vis_23,-39.0,-84.0,14.0,Vis,L,cortical
7Networks_LH_Vis_24,-11.0,-97.0,17.0,Vis,L,cortical
7Networks_LH_Vis_25,-3.0,-84.0,24.0,Vis,L,cortical
