region,x,y,z,network,hemisphere,structure
7Networks_LH_Vis_1,-26.0,-34.0,-17.0,Vis,L,cortical
7Networks_LH_Vis_2,-26.0,-77.0,-14.0,Vis,L,cortical
7Networks_LH_Vis_3,-17.0,-60.0,-7.0,Vis,L,cortical
7Networks_LH_Vis_4,-27.0,-95.0,-4.0,Vis,L,cortical
7Networks_LH_Vis_5,-5.0,-92.0,-2.0,Vis,L,cortical
7Networks_LH_Vis_6,-12.0,-67.0,7.0,Vis,L,cortical
7Networks_LH_Vis_7,-47.0,-71.0,11.0,Vis,L,cortical
7Networks_LH_Vis_8,-25.0,-88.0,20.0,Vis,L,cortical
7Networks_LH_Vis_9,-6.0,-82.0,26.0,Vis,L,cortical
7Networks_LH_SomMot_1,-53.0,-23.0,8.0,SomMot,L,cortical
7Networks_LH_SomMot_2,-37.0,-21.0,16.0,SomMot,L,cortical
7Networks_LH_SomMot_3,-54.0,-12.0,13.0,SomMot,L,cortical
7Networks_LH_SomMot_4,-55.0,-8.0,34.0,SomMot,L,cortical
7Networks_LH_SomMot_5,-39.0,-23.0,59.0,SomMot,L,cortical
7Networks_LH_SomMot_6,-6.0,-29.0,70.0,SomMot,L,cortical
7Networks_LH_DorsAttn_Post_1,-47.0,-58.0,-13.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_2,-57.0,-25.0,39.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_3,-24.0,-68.0,49.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_4,-42.0,-34.0,48.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_5,-6.0,-60.0,56.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_6,-22.0,-51.0,66.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_PrCv_1,-48.0,6.0,28.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_FEF_1,-26.0,-3.0,59.0,DorsAttn,L,cortical
7Networks_LH_SalVentAttn_ParOper_1,-59.0,-38.0,29.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_1,-41.0,-1.0,-7.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_2,-38.0,12.0,6.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_PFCl_1,-30.0,44.0,30.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_1,-5.0,20.0,34.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_2,-11.0,-34.0,45.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_3,-6.0,4.0,62.0,SalVentAttn,L,cortical
7Networks_LH_Limbic_OFC_1,-14.0,32.0,-20.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_1,-32.0,2.0,-37.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_2,-57.0,-33.0,-21.0,Limbic,L,cortical
7Networks_LH_Cont_Par_1,-37.0,-53.0,46.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_1,-43.0,33.0,21.0,Cont,L,cortical
7Networks_LH_Cont_pCun_1,-9.0,-73.0,38.0,Cont,L,cortical
7Networks_LH_Cont_Cing_1,-4.0,-26.0,33.0,Cont,L,cortical
7Networks_LH_Default_Temp_1,-55.0,-4.0,-20.0,Default,L,cortical
7Networks_LH_Default_Temp_2,-58.0,-32.0,-1.0,Default,L,cortical
7Networks_LH_Default_Par_1,-57.0,-50.0,12.0,Default,L,cortical
7Networks_LH_Default_Par_2,-48.0,-63.0,35.0,Default,L,cortical
7Networks_LH_Default_PFC_1,-35.0,21.0,-11.0,Default,L,cortical
7Networks_LH_Default_PFC_2,-47.0,33.0,-3.0,Default,L,cortical
7Networks_LH_Default_PFC_3,-6.0,47.0,0.0,Default,L,cortical
7Networks_LH_Default_PFC_4,-24.0,61.0,-1.0,Default,L,cortical
