region,x,y,z,network,hemisphere,structure
17Networks_LH_VisCent_ExStr_1,-26.0,-77.0,-14.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_2,-27.0,-95.0,-4.0,VisCent,L,cortical
17Networks_LH_VisCent_Striate_1,-5.0,-92.0,-2.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_3,-25.0,-88.0,20.0,VisCent,L,cortical
17Networks_LH_VisPeri_ExStrInf_1,-17.0,-60.0,-7.0,VisPeri,L,cortical
17Networks_LH_VisPeri_StriCal_1,-12.0,-67.0,7.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_1,-6.0,-82.0,26.0,VisPeri,L,cortical
17Networks_LH_SomMotA_1,-39.0,-23.0,59.0,SomMotA,L,cortical
17Networks_LH_SomMotA_2,-6.0,-29.0,70.0,SomMotA,L,cortical
17Networks_LH_SomMotB_Aud_1,-53.0,-23.0,8.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_1,-37.0,-21.0,16.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_2,-54.0,-12.0,13.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_1,-55.0,-8.0,34.0,SomMotB,L,cortical
17Networks_LH_DorsAttnA_TempOcc_1,-47.0,-58.0,-13.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_ParOcc_1,-47.0,-71.0,11.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_1,-24.0,-68.0,49.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnB_PostC_1,-57.0,-25.0,39.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_2,-42.0,-34.0,48.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_3,-22.0,-51.0,66.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_FEF_1,-26.0,-3.0,59.0,DorsAttnB,L,cortical
17Networks_LH_SalVentAttnA_ParOper_1,-59.0,-38.0,29.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_1,-41.0,-1.0,-7.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_2,-38.0,12.0,6.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParMed_1,-11.0,-34.0,45.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrMed_1,-6.0,4.0,62.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnB_PFCl_1,-30.0,44.0,30.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_PFCmp_1,-5.0,20.0,34.0,SalVentAttnB,L,cortical
17Networks_LH_LimbicB_OFC_1,-14.0,32.0,-20.0,LimbicB,L,cortical
17Networks_LH_LimbicA_TempPole_1,-32.0,2.0,-37.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_2,-57.0,-33.0,-21.0,LimbicA,L,cortical
17Networks_LH_ContA_IPS_1,-37.0,-53.0,46.0,ContA,L,cortical
17Networks_LH_ContA_PFCl_1,-43.0,33.0,21.0,ContA,L,cortical
17Networks_LH_ContA_PFCl_2,-48.0,6.0,28.0,ContA,L,cortical
17Networks_LH_ContB_PFClv_1,-24.0,61.0,-1.0,ContB,L,cortical
17Networks_LH_ContC_pCun_1,-9.0,-73.0,38.0,ContC,L,cortical
17Networks_LH_ContC_pCun_2,-6.0,-60.0,56.0,ContC,L,cortical
17Networks_LH_ContC_Cingp_1,-4.0,-26.0,33.0,ContC,L,cortical
17Networks_LH_DefaultA_PFCd_1,-25.0,20.0,51.0,DefaultA,L,cortical
17Networks_LH_DefaultA_pCunPCC_1,-6.0,-53.0,33.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCm_1,-6.0,47.0,0.0,DefaultA,L,cortical
17Networks_LH_DefaultB_Temp_1,-55.0,-4.0,-20.0,DefaultB,L,cortical
17Networks_LH_DefaultB_Temp_2,-58.0,-32.0,-1.0,DefaultB,L,cortical
17Networks_LH_DefaultB_IPL_1,-48.0,-63.0,35.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCd_1,-9.0,48.0,41.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCl_1,-41.0,14.0,48.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCv_1,-35.0,21.0,-11.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCv_2,-47.0,33.0,-3.0,DefaultB,L,cortical
17Networks_LH_DefaultC_Rsp_1,-11.0,-56.0,13.0,DefaultC,L,cortical
17Networks_LH_DefaultC_PHC_1,-26.0,-34.0,-17.0,DefaultC,L,cortical
17Networks_LH_TempPar_1,-57.0,-50.0,12.0,TempPar,L,cortical
17Networks_RH_VisCent_ExStr_1,27.0,-66.0,-12.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_2,22.0,-96.0,-5.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_3,36.0,-82.0,16.0,VisCent,R,cortical
17Networks_RH_VisPeri_StriCal_1,8.0,-76.0,5.0,VisPeri,R,cortical
17Networks_RH_VisPeri_ExStrInf_1,17.0,-57.0,5.0,VisPeri,R,cortical
17Networks_RH_VisPeri_ExStrSup_1,13.0,-86.0,29.0,VisPeri,R,cortical
17Networks_RH_SomMotA_1,47.0,-11.0,48.0,SomMotA,R,cortical
17Networks_RH_SomMotA_2,41.0,-22.0,60.0,SomMotA,R,cortical
17Networks_RH_SomMotA_3,30.0,-37.0,64.0,SomMotA,R,cortical
17Networks_RH_SomMotA_4,6.0,-26.0,70.0,SomMotA,R,cortical
17Networks_RH_SomMotB_Aud_1,53.0,-16.0,7.0,SomMotB,R,cortical
17Networks_RH_SomMotB_S2_1,40.0,-15.0,15.0,SomMotB,R,cortical
17Networks_RH_SomMotB_S2_2,57.0,-4.0,11.0,SomMotB,R,cortical
17Networks_RH_SomMotB_Cent_1,58.0,-5.0,31.0,SomMotB,R,cortical
