region,x,y,z,network,hemisphere,structure
7Networks_LH_Vis_1,-24.0,-53.0,-9.0,Vis,L,cortical
7Networks_LH_Vis_2,-26.0,-77.0,-14.0,Vis,L,cortical
7Networks_LH_Vis_3,-45.0,-69.0,-8.0,Vis,L,cortical
7Networks_LH_Vis_4,-10.0,-67.0,-4.0,Vis,L,cortical
7Networks_LH_Vis_5,-27.0,-95.0,-12.0,Vis,L,cortical
7Networks_LH_Vis_6,-14.0,-44.0,-3.0,Vis,L,cortical
7Networks_LH_Vis_7,-5.0,-93.0,-4.0,Vis,L,cortical
7Networks_LH_Vis_8,-47.0,-70.0,10.0,Vis,L,cortical
7Networks_LH_Vis_9,-23.0,-97.0,6.0,Vis,L,cortical
7Networks_LH_Vis_10,-11.0,-70.0,7.0,Vis,L,cortical
7Networks_LH_Vis_11,-40.0,-85.0,11.0,Vis,L,cortical
7Networks_LH_Vis_12,-12.0,-73.0,22.0,Vis,L,cortical
7Networks_LH_Vis_13,-7.0,-87.0,28.0,Vis,L,cortical
7Networks_LH_Vis_14,-23.0,-87.0,23.0,Vis,L,cortical
7Networks_LH_SomMot_1,-51.0,-4.0,-2.0,SomMot,L,cortical
7Networks_LH_SomMot_2,-53.0,-24.0,9.0,SomMot,L,cortical
7Networks_LH_SomMot_3,-37.0,-21.0,16.0,SomMot,L,cortical
7Networks_LH_SomMot_4,-55.0,-4.0,10.0,SomMot,L,cortical
7Networks_LH_SomMot_5,-53.0,-22.0,18.0,SomMot,L,cortical
7Networks_LH_SomMot_6,-56.0,-8.0,31.0,SomMot,L,cortical
7Networks_LH_SomMot_7,-47.0,-9.0,46.0,SomMot,L,cortical
7Networks_LH_SomMot_8,-7.0,-12.0,46.0,SomMot,L,cortical
7Networks_LH_SomMot_9,-49.0,-28.0,57.0,SomMot,L,cortical
7Networks_LH_SomMot_10,-40.0,-25.0,57.0,SomMot,L,cortical
7Networks_LH_SomMot_11,-31.0,-46.0,63.0,SomMot,L,cortical
7Networks_LH_SomMot_12,-32.0,-22.0,64.0,SomMot,L,cortical
7Networks_LH_SomMot_13,-26.0,-38.0,68.0,SomMot,L,cortical
7Networks_LH_SomMot_14,-20.0,-11.0,68.0,SomMot,L,cortical
7Networks_LH_SomMot_15,-5.0,-29.0,67.0,SomMot,L,cortical
7Networks_LH_SomMot_16,-19.0,-31.0,68.0,SomMot,L,cortical
7Networks_LH_DorsAttn_Post_1,-43.0,-48.0,-19.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_2,-57.0,-60.0,-1.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_3,-26.0,-70.0,38.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_4,-54.0,-27.0,42.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_5,-41.0,-35.0,47.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_6,-33.0,-49.0,47.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_7,-17.0,-73.0,54.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_8,-29.0,-60.0,59.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_9,-6.0,-60.0,57.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_10,-17.0,-53.0,68.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_FEF_1,-31.0,-4.0,53.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_FEF_2,-22.0,6.0,62.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_PrCv_1,-48.0,6.0,29.0,DorsAttn,L,cortical
7Networks_LH_SalVentAttn_ParOper_1,-56.0,-40.0,20.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_ParOper_2,-61.0,-26.0,28.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_ParOper_3,-60.0,-39.0,36.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_1,-39.0,-4.0,-4.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_2,-33.0,20.0,5.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_3,-39.0,1.0,11.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_4,-51.0,9.0,11.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_PFCl_1,-28.0,43.0,31.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_1,-6.0,9.0,41.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_2,-11.0,-35.0,46.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_3,-6.0,-3.0,65.0,SalVentAttn,L,cortical
7Networks_LH_Limbic_OFC_1,-24.0,22.0,-20.0,Limbic,L,cortical
7Networks_LH_Limbic_OFC_2,-10.0,35.0,-21.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_1,-29.0,-6.0,-39.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_2,-45.0,-20.0,-30.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_3,-28.0,10.0,-34.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_4,-43.0,8.0,-19.0,Limbic,L,cortical
7Networks_LH_Cont_Par_1,-53.0,-51.0,46.0,Cont,L,cortical
7Networks_LH_Cont_Par_2,-35.0,-62.0,48.0,Cont,L,cortical
7Networks_LH_Cont_Par_3,-45.0,-42.0,46.0,Cont,L,cortical
7Networks_LH_Cont_Temp_1,-61.0,-43.0,-13.0,Cont,L,cortical
7Networks_LH_Cont_OFC_1,-32.0,42.0,-13.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_1,-42.0,49.0,-6.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_2,-28.0,58.0,8.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_3,-42.0,40.0,16.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_4,-44.0,20.0,27.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_5,-43.0,6.0,43.0,Cont,L,cortical
7Networks_LH_Cont_pCun_1,-9.0,-73.0,38.0,Cont,L,cortical
7Networks_LH_Cont_Cing_1,-5.0,-29.0,28.0,Cont,L,cortical
7Networks_LH_Cont_Cing_2,-3.0,4.0,30.0,Cont,L,cortical
7Networks_LH_Default_Temp_1,-47.0,8.0,-33.0,Default,L,cortical
7Networks_LH_Default_Temp_2,-60.0,-19.0,-22.0,Default,L,cortical
7Networks_LH_Default_Temp_3,-56.0,-6.0,-12.0,Default,L,cortical
7Networks_LH_Default_Temp_4,-58.0,-30.0,-4.0,Default,L,cortical
7Networks_LH_Default_Temp_5,-58.0,-43.0,7.0,Default,L,cortical
7Networks_LH_Default_Par_1,-48.0,-57.0,18.0,Default,L,cortical
7Networks_LH_Default_Par_2,-39.0,-80.0,31.0,Default,L,cortical
7Networks_LH_Default_Par_3,-57.0,-54.0,28.0,Default,L,cortical
7Networks_LH_Default_Par_4,-46.0,-66.0,38.0,Default,L,cortical
7Networks_LH_Default_PFC_1,-35.0,20.0,-13.0,Default,L,cortical
7Networks_LH_Default_PFC_2,-6.0,36.0,-10.0,Default,L,cortical
7Networks_LH_Default_PFC_3,-46.0,31.0,-7.0,Default,L,cortical
7Networks_LH_Default_PFC_4,-12.0,63.0,-6.0,Default,L,cortical
7Networks_LH_Default_PFC_5,-52.0,22.0,8.0,Default,L,cortical
7Networks_LH_Default_PFC_6,-6.0,44.0,7.0,Default,L,cortical
7Networks_LH_Default_PFC_7,-8.0,59.0,21.0,Default,L,cortical
7Networks_LH_Default_PFC_8,-6.0,30.0,25.0,Default,L,cortical
7Networks_LH_Default_PFC_9,-11.0,47.0,45.0,Default,L,cortical
7Networks_LH_Default_PFC_10,-3.0,33.0,43.0,Default,L,cortical
7Networks_LH_Default_PFC_11,-40.0,19.0,49.0,Default,L,cortical
7Networks_LH_Default_PFC_12,-24.0,25.0,49.0,Default,L,cortical
7Networks_LH_Default_PFC_13,-9.0,17.0,63.0,Default,L,cortical
