region,x,y,z,network,hemisphere,structure
7Networks_LH_Vis_1,-34.0,-41.0,-21.0,Vis,L,cortical
7Networks_LH_Vis_2,-29.0,-34.0,-17.0,Vis,L,cortical
7Networks_LH_Vis_3,-35.0,-65.0,-16.0,Vis,L,cortical
7Networks_LH_Vis_4,-24.0,-54.0,-8.0,Vis,L,cortical
7Networks_LH_Vis_5,-22.0,-73.0,-9.0,Vis,L,cortical
7Networks_LH_Vis_6,-21.0,-85.0,-15.0,Vis,L,cortical
7Networks_LH_Vis_7,-16.0,-38.0,-11.0,Vis,L,cortical
7Networks_LH_Vis_8,-42.0,-84.0,-10.0,Vis,L,cortical
7Networks_LH_Vis_9,-12.0,-62.0,-5.0,Vis,L,cortical
7Networks_LH_Vis_10,-7.0,-76.0,-6.0,Vis,L,cortical
7Networks_LH_Vis_11,-23.0,-97.0,-12.0,Vis,L,cortical
7Networks_LH_Vis_12,-14.0,-52.0,-1.0,Vis,L,cortical
7Networks_LH_Vis_13,-46.0,-74.0,6.0,Vis,L,cortical
7Networks_LH_Vis_14,-6.0,-94.0,-4.0,Vis,L,cortical
7Networks_LH_Vis_15,-26.0,-95.0,5.0,Vis,L,cortical
7Networks_LH_Vis_16,-6.0,-77.0,8.0,Vis,L,cortical
7Networks_LH_Vis_17,-18.0,-65.0,7.0,Vis,L,cortical
7Networks_LH_Vis_18,-40.0,-84.0,14.0,Vis,L,cortical
7Networks_LH_Vis_19,-13.0,-95.0,19.0,Vis,L,cortical
7Networks_LH_Vis_20,-3.0,-86.0,23.0,Vis,L,cortical
7Networks_LH_Vis_21,-11.0,-73.0,23.0,Vis,L,cortical
7Networks_LH_Vis_22,-28.0,-83.0,23.0,Vis,L,cortical
7Networks_LH_Vis_23,-14.0,-86.0,37.0,Vis,L,cortical
7Networks_LH_Vis_24,-23.0,-79.0,40.0,Vis,L,cortical
7Networks_LH_SomMot_1,-49.0,-11.0,1.0,SomMot,L,cortical
7Networks_LH_SomMot_2,-54.0,-23.0,8.0,SomMot,L,cortical
7Networks_LH_SomMot_3,-38.0,-13.0,15.0,SomMot,L,cortical
7Networks_LH_SomMot_4,-35.0,-26.0,16.0,SomMot,L,cortical
7Networks_LH_SomMot_5,-51.0,-13.0,14.0,SomMot,L,cortical
7Networks_LH_SomMot_6,-56.0,-38.0,17.0,SomMot,L,cortical
7Networks_LH_SomMot_7,-44.0,-30.0,18.0,SomMot,L,cortical
7Networks_LH_SomMot_8,-61.0,-4.0,13.0,SomMot,L,cortical
7Networks_LH_SomMot_9,-59.0,-19.0,20.0,SomMot,L,cortical
7Networks_LH_SomMot_10,-58.0,-7.0,29.0,SomMot,L,cortical
7Networks_LH_SomMot_11,-59.0,-21.0,35.0,SomMot,L,cortical
7Networks_LH_SomMot_12,-51.0,-8.0,42.0,SomMot,L,cortical
7Networks_LH_SomMot_13,-50.0,-17.0,44.0,SomMot,L,cortical
7Networks_LH_SomMot_14,-8.0,-11.0,45.0,SomMot,L,cortical
7Networks_LH_SomMot_15,-42.0,-13.0,49.0,SomMot,L,cortical
7Networks_LH_SomMot_16,-49.0,-28.0,57.0,SomMot,L,cortical
7Networks_LH_SomMot_17,-43.0,-21.0,54.0,SomMot,L,cortical
7Networks_LH_SomMot_18,-5.0,-24.0,52.0,SomMot,L,cortical
7Networks_LH_SomMot_19,-36.0,-20.0,64.0,SomMot,L,cortical
7Networks_LH_SomMot_20,-4.0,-7.0,60.0,SomMot,L,cortical
7Networks_LH_SomMot_21,-31.0,-47.0,63.0,SomMot,L,cortical
7Networks_LH_SomMot_22,-31.0,-29.0,62.0,SomMot,L,cortical
7Networks_LH_SomMot_23,-27.0,-38.0,68.0,SomMot,L,cortical
7Networks_LH_SomMot_24,-21.0,-12.0,68.0,SomMot,L,cortical
7Networks_LH_SomMot_25,-8.0,-42.0,67.0,SomMot,L,cortical
7Networks_LH_SomMot_26,-4.0,-25.0,67.0,SomMot,L,cortical
7Networks_LH_SomMot_27,-17.0,-48.0,71.0,SomMot,L,cortical
7Networks_LH_SomMot_28,-19.0,-31.0,69.0,SomMot,L,cortical
7Networks_LH_SomMot_29,-17.0,-25.0,70.0,SomMot,L,cortical
7Networks_LH_DorsAttn_Post_1,-48.0,-50.0,-19.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_2,-45.0,-68.0,-8.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_3,-55.0,-63.0,2.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_4,-48.0,-66.0,15.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_5,-26.0,-68.0,39.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_6,-55.0,-31.0,44.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_7,-30.0,-58.0,48.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_8,-42.0,-34.0,47.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_9,-33.0,-48.0,47.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_10,-17.0,-72.0,54.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_11,-29.0,-60.0,61.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_Post_12,-13.0,-59.0,64.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_FEF_1,-27.0,5.0,56.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_FEF_2,-32.0,-5.0,52.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_FEF_3,-22.0,5.0,64.0,DorsAttn,L,cortical
7Networks_LH_DorsAttn_PrCv_1,-49.0,2.0,38.0,DorsAttn,L,cortical
7Networks_LH_SalVentAttn_ParOper_1,-58.0,-44.0,27.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_ParOper_2,-60.0,-30.0,24.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_ParOper_3,-61.0,-38.0,39.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_TempOcc_1,-54.0,-53.0,13.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_1,-39.0,-3.0,-4.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_2,-33.0,24.0,-1.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_3,-33.0,19.0,8.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_4,-38.0,1.0,11.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_5,-44.0,11.0,2.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_6,-52.0,1.0,6.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_FrOperIns_7,-51.0,7.0,20.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_PFCl_1,-27.0,46.0,29.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_1,-6.0,9.0,41.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_2,-12.0,-33.0,44.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_3,-6.0,-50.0,56.0,SalVentAttn,L,cortical
7Networks_LH_SalVentAttn_Med_4,-11.0,-3.0,71.0,SalVentAttn,L,cortical
7Networks_LH_Limbic_OFC_1,-24.0,22.0,-20.0,Limbic,L,cortical
7Networks_LH_Limbic_OFC_2,-8.0,23.0,-20.0,Limbic,L,cortical
7Networks_LH_Limbic_OFC_3,-11.0,48.0,-21.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_1,-29.0,-4.0,-40.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_2,-52.0,-17.0,-34.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_3,-39.0,-20.0,-28.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_4,-27.0,10.0,-34.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_5,-43.0,12.0,-35.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_6,-21.0,-18.0,-27.0,Limbic,L,cortical
7Networks_LH_Limbic_TempPole_7,-42.0,7.0,-19.0,Limbic,L,cortical
7Networks_LH_Cont_Par_1,-54.0,-50.0,45.0,Cont,L,cortical
7Networks_LH_Cont_Par_2,-33.0,-66.0,48.0,Cont,L,cortical
7Networks_LH_Cont_Par_3,-42.0,-52.0,48.0,Cont,L,cortical
7Networks_LH_Cont_Par_4,-45.0,-41.0,46.0,Cont,L,cortical
7Networks_LH_Cont_Temp_1,-60.0,-52.0,-9.0,Cont,L,cortical
7Networks_LH_Cont_OFC_1,-32.0,41.0,-13.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_1,-42.0,49.0,-6.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_2,-29.0,57.0,7.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_3,-41.0,41.0,14.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_4,-45.0,21.0,25.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_5,-38.0,33.0,36.0,Cont,L,cortical
7Networks_LH_Cont_PFCl_6,-42.0,12.0,34.0,Cont,L,cortical
7Networks_LH_Cont_pCun_1,-9.0,-76.0,44.0,Cont,L,cortical
7Networks_LH_Cont_pCun_2,-5.0,-65.0,52.0,Cont,L,cortical
7Networks_LH_Cont_Cing_1,-5.0,-28.0,28.0,Cont,L,cortical
7Networks_LH_Cont_Cing_2,-3.0,6.0,29.0,Cont,L,cortical
7Networks_LH_Cont_PFCmp_1,-4.0,27.0,47.0,Cont,L,cortical
7Networks_LH_Default_Temp_1,-58.0,-8.0,-21.0,Default,L,cortical
7Networks_LH_Default_Temp_2,-61.0,-35.0,-17.0,Default,L,cortical
7Networks_LH_Default_Temp_3,-52.0,8.0,-12.0,Default,L,cortical
7Networks_LH_Default_Temp_4,-57.0,-9.0,-6.0,Default,L,cortical
7Networks_LH_Default_Temp_5,-52.0,-21.0,-8.0,Default,L,cortical
7Networks_LH_Default_Temp_6,-61.0,-35.0,-3.0,Default,L,cortical
7Networks_LH_Default_Temp_7,-60.0,-28.0,2.0,Default,L,cortical
7Networks_LH_Default_Temp_8,-56.0,-44.0,9.0,Default,L,cortical
7Networks_LH_Default_Par_1,-45.0,-61.0,24.0,Default,L,cortical
7Networks_LH_Default_Par_2,-38.0,-81.0,33.0,Default,L,cortical
7Networks_LH_Default_Par_3,-57.0,-54.0,28.0,Default,L,cortical
7Networks_LH_Default_Par_4,-46.0,-66.0,41.0,Default,L,cortical
7Networks_LH_Default_PFC_1,-35.0,20.0,-13.0,Default,L,cortical
7Networks_LH_Default_PFC_2,-6.0,36.0,-10.0,Default,L,cortical
7Networks_LH_Default_PFC_3,-46.0,31.0,-10.0,Default,L,cortical
7Networks_LH_Default_PFC_4,-19.0,63.0,-8.0,Default,L,cortical
7Networks_LH_Default_PFC_5,-6.0,60.0,-1.0,Default,L,cortical
7Networks_LH_Default_PFC_6,-48.0,28.0,1.0,Default,L,cortical
7Networks_LH_Default_PFC_7,-6.0,44.0,7.0,Default,L,cortical
7Networks_LH_Default_PFC_8,-54.0,19.0,12.0,Default,L,cortical
7Networks_LH_Default_PFC_9,-18.0,63.0,19.0,Default,L,cortical
7Networks_LH_Default_PFC_10,-6.0,30.0,25.0,Default,L,cortical
7Networks_LH_Default_PFC_11,-4.0,50.0,31.0,Default,L,cortical
7Networks_LH_Default_PFC_12,-14.0,46.0,45.0,Default,L,cortical
7Networks_LH_Default_PFC_13,-23.0,31.0,43.0,Default,L,cortical
7Networks_LH_Default_PFC_14,-39.0,19.0,50.0,Default,L,cortical
7Networks_LH_Default_PFC_15,-42.0,7.0,49.0,Default,L,cortical
7Networks_LH_Default_PFC_16,-25.0,19.0,53.0,Default,L,cortical
7Networks_LH_Default_PFC_17,-12.0,24.0,61.0,Default,L,cortical
7Networks_LH_Default_PFC_18,-6.0,10.0,64.0,Default,L,cortical
7Networks_LH_Default_pCunPCC_1,-11.0,-51.0,6.0,Default,L,cortical
7Networks_LH_Default_pCunPCC_2,-5.0,-52.0,16.0,Default,L,cortical
7Networks_LH_Default_pCunPCC_3,-13.0,-61.0,19.0,Default,L,cortical
7Networks_LH_Default_pCunPCC_4,-5.0,-56.0,28.0,Default,L,cortical
7Networks_LH_Default_pCunPCC_5,-11.0,-69.0,31.0,Default,L,cortical
7Networks_LH_Default_pCunPCC_6,-5.0,-38.0,35.0,Default,L,cortical
7Networks_LH_Default_pCunPCC_7,-3.0,-17.0,37.0,Default,L,cortical
7Networks_LH_Default_pCunPCC_8,-6.0,-55.0,41.0,Default,L,cortical
7Networks_RH_Vis_1,35.0,-44.0,-20.0,Vis,R,cortical
7Networks_RH_Vis_2,28.0,-28.0,-20.0,Vis,R,cortical
7Networks_RH_Vis_3,26.0,-54.0,-9.0,Vis,R,cortical
7Networks_RH_Vis_4,28.0,-75.0,-13.0,Vis,R,cortical
7Networks_RH_Vis_5,18.0,-36.0,-12.0,Vis,R,cortical
7Networks_RH_Vis_6,47.0,-76.0,-11.0,Vis,R,cortical
7Networks_RH_Vis_7,9.0,-72.0,-5.0,Vis,R,cortical
7Networks_RH_Vis_8,13.0,-58.0,-3.0,Vis,R,cortical
7Networks_RH_Vis_9,7.0,-88.0,-9.0,Vis,R,cortical
7Networks_RH_Vis_10,24.0,-95.0,-10.0,Vis,R,cortical
7Networks_RH_Vis_11,17.0,-45.0,-1.0,Vis,R,cortical
7Networks_RH_Vis_12,49.0,-64.0,4.0,Vis,R,cortical
7Networks_RH_Vis_13,10.0,-95.0,2.0,Vis,R,cortical
7Networks_RH_Vis_14,35.0,-89.0,1.0,Vis,R,cortical
7Networks_RH_Vis_15,9.0,-74.0,9.0,Vis,R,cortical
7Networks_RH_Vis_16,22.0,-60.0,7.0,Vis,R,cortical
7Networks_RH_Vis_17,18.0,-97.0,14.0,Vis,R,cortical
7Networks_RH_Vis_18,43.0,-79.0,10.0,Vis,R,cortical
7Networks_RH_Vis_19,9.0,-88.0,24.0,Vis,R,cortical
7Networks_RH_Vis_20,13.0,-73.0,26.0,Vis,R,cortical
7Networks_RH_Vis_21,27.0,-86.0,23.0,Vis,R,cortical
7Networks_RH_Vis_22,35.0,-77.0,25.0,Vis,R,cortical
7Networks_RH_Vis_23,20.0,-84.0,41.0,Vis,R,cortical
7Networks_RH_SomMot_1,53.0,-10.0,3.0,SomMot,R,cortical
7Networks_RH_SomMot_2,63.0,-19.0,0.0,SomMot,R,cortical
7Networks_RH_SomMot_3,35.0,-21.0,14.0,SomMot,R,cortical
7Networks_RH_SomMot_4,40.0,-10.0,15.0,SomMot,R,cortical
7Networks_RH_SomMot_5,61.0,-24.0,11.0,SomMot,R,cortical
7Networks_RH_SomMot_6,60.0,-37.0,12.0,SomMot,R,cortical
7Networks_RH_SomMot_7,42.0,-28.0,18.0,SomMot,R,cortical
7Networks_RH_SomMot_8,59.0,0.0,11.0,SomMot,R,cortical
7Networks_RH_SomMot_9,54.0,-14.0,16.0,SomMot,R,cortical
7Networks_RH_SomMot_10,61.0,-4.0,26.0,SomMot,R,cortical
7Networks_RH_SomMot_11,58.0,-14.0,35.0,SomMot,R,cortical
7Networks_RH_SomMot_12,52.0,-8.0,37.0,SomMot,R,cortical
7Networks_RH_SomMot_13,52.0,-13.0,50.0,SomMot,R,cortical
