region,x,y,z,network,hemisphere,structure
17Networks_LH_VisCent_ExStr_1,-26.0,-77.0,-14.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_2,-27.0,-95.0,-12.0,VisCent,L,cortical
17Networks_LH_VisCent_Striate_1,-5.0,-93.0,-4.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_3,-23.0,-97.0,6.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_4,-40.0,-85.0,11.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_5,-23.0,-87.0,23.0,VisCent,L,cortical
17Networks_LH_VisPeri_ExStrInf_1,-24.0,-53.0,-9.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_2,-10.0,-67.0,-4.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_3,-14.0,-44.0,-3.0,VisPeri,L,cortical
17Networks_LH_VisPeri_StriCal_1,-11.0,-70.0,7.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_1,-12.0,-73.0,22.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_2,-7.0,-87.0,28.0,VisPeri,L,cortical
17Networks_LH_SomMotA_1,-7.0,-12.0,46.0,SomMotA,L,cortical
17Networks_LH_SomMotA_2,-49.0,-28.0,57.0,SomMotA,L,cortical
17Networks_LH_SomMotA_3,-40.0,-25.0,57.0,SomMotA,L,cortical
17Networks_LH_SomMotA_4,-32.0,-22.0,64.0,SomMotA,L,cortical
17Networks_LH_SomMotA_5,-26.0,-38.0,68.0,SomMotA,L,cortical
17Networks_LH_SomMotA_6,-20.0,-11.0,68.0,SomMotA,L,cortical
17Networks_LH_SomMotA_7,-5.0,-29.0,67.0,SomMotA,L,cortical
17Networks_LH_SomMotA_8,-19.0,-31.0,68.0,SomMotA,L,cortical
17Networks_LH_SomMotB_Aud_1,-51.0,-4.0,-2.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Aud_2,-53.0,-24.0,9.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_1,-37.0,-21.0,16.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_2,-55.0,-4.0,10.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Aud_3,-56.0,-40.0,20.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_3,-53.0,-22.0,18.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_1,-56.0,-8.0,31.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_2,-47.0,-9.0,46.0,SomMotB,L,cortical
17Networks_LH_DorsAttnA_TempOcc_1,-43.0,-48.0,-19.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_TempOcc_2,-45.0,-69.0,-8.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_ParOcc_1,-47.0,-70.0,10.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_1,-26.0,-70.0,38.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_2,-17.0,-73.0,54.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_3,-29.0,-60.0,59.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnB_PostC_1,-54.0,-27.0,42.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_2,-41.0,-35.0,47.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_3,-31.0,-46.0,63.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_4,-17.0,-53.0,68.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_FEF_1,-31.0,-4.0,53.0,DorsAttnB,L,cortical
17Networks_LH_SalVentAttnA_ParOper_1,-61.0,-26.0,28.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_1,-39.0,-4.0,-4.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrOper_1,-39.0,1.0,11.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrOper_2,-51.0,9.0,11.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParMed_1,-11.0,-35.0,46.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrMed_1,-6.0,9.0,41.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrMed_2,-6.0,-3.0,65.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnB_IPL_1,-60.0,-39.0,36.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_PFCl_1,-28.0,43.0,31.0,SalVentAttnB,L,cortical
