region,x,y,z,network,hemisphere,structure
17Networks_LH_VisCent_ExStr_1,-35.0,-65.0,-16.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_2,-22.0,-73.0,-9.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_3,-21.0,-85.0,-15.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_4,-42.0,-84.0,-10.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_5,-23.0,-97.0,-12.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_6,-46.0,-74.0,6.0,VisCent,L,cortical
17Networks_LH_VisCent_Striate_1,-6.0,-94.0,-4.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_7,-26.0,-95.0,5.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_8,-40.0,-84.0,14.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_9,-13.0,-95.0,19.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_10,-28.0,-83.0,23.0,VisCent,L,cortical
17Networks_LH_VisPeri_ExStrInf_1,-24.0,-54.0,-8.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_2,-12.0,-62.0,-5.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_3,-7.0,-76.0,-6.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_4,-14.0,-52.0,-1.0,VisPeri,L,cortical
17Networks_LH_VisPeri_StriCal_1,-6.0,-77.0,8.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_1,-18.0,-65.0,7.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_2,-3.0,-86.0,23.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_3,-11.0,-73.0,23.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_4,-14.0,-86.0,37.0,VisPeri,L,cortical
17Networks_LH_SomMotA_1,-8.0,-11.0,45.0,SomMotA,L,cortical
17Networks_LH_SomMotA_2,-42.0,-13.0,49.0,SomMotA,L,cortical
17Networks_LH_SomMotA_3,-49.0,-28.0,57.0,SomMotA,L,cortical
17Networks_LH_SomMotA_4,-43.0,-21.0,54.0,SomMotA,L,cortical
17Networks_LH_SomMotA_5,-5.0,-24.0,52.0,SomMotA,L,cortical
17Networks_LH_SomMotA_6,-36.0,-20.0,64.0,SomMotA,L,cortical
17Networks_LH_SomMotA_7,-4.0,-7.0,60.0,SomMotA,L,cortical
17Networks_LH_SomMotA_8,-31.0,-29.0,62.0,SomMotA,L,cortical
17Networks_LH_SomMotA_9,-27.0,-38.0,68.0,SomMotA,L,cortical
17Networks_LH_SomMotA_10,-21.0,-12.0,68.0,SomMotA,L,cortical
17Networks_LH_SomMotA_11,-8.0,-42.0,67.0,SomMotA,L,cortical
17Networks_LH_SomMotA_12,-4.0,-25.0,67.0,SomMotA,L,cortical
17Networks_LH_SomMotA_13,-17.0,-48.0,71.0,SomMotA,L,cortical
17Networks_LH_SomMotA_14,-19.0,-31.0,69.0,SomMotA,L,cortical
17Networks_LH_SomMotA_15,-17.0,-25.0,70.0,SomMotA,L,cortical
17Networks_LH_SomMotB_Aud_1,-49.0,-11.0,1.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Aud_2,-54.0,-23.0,8.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_1,-38.0,-13.0,15.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_2,-35.0,-26.0,16.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_3,-51.0,-13.0,14.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Aud_3,-56.0,-38.0,17.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_4,-44.0,-30.0,18.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_5,-61.0,-4.0,13.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_6,-59.0,-19.0,20.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_1,-58.0,-7.0,29.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_2,-51.0,-8.0,42.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_3,-50.0,-17.0,44.0,SomMotB,L,cortical
17Networks_LH_DorsAttnA_TempOcc_1,-34.0,-41.0,-21.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_TempOcc_2,-48.0,-50.0,-19.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_TempOcc_3,-45.0,-68.0,-8.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_ParOcc_1,-48.0,-66.0,15.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_1,-23.0,-79.0,40.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_2,-26.0,-68.0,39.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_3,-17.0,-72.0,54.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_4,-29.0,-60.0,61.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnB_TempOcc_1,-55.0,-63.0,2.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_1,-59.0,-21.0,35.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_2,-55.0,-31.0,44.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_3,-42.0,-34.0,47.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_4,-31.0,-47.0,63.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_5,-13.0,-59.0,64.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_FEF_1,-32.0,-5.0,52.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_FEF_2,-22.0,5.0,64.0,DorsAttnB,L,cortical
17Networks_LH_SalVentAttnA_ParOper_1,-58.0,-44.0,27.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParOper_2,-60.0,-30.0,24.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_1,-39.0,-3.0,-4.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_2,-33.0,19.0,8.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_3,-38.0,1.0,11.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrOper_1,-52.0,1.0,6.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParMed_1,-12.0,-33.0,44.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParMed_2,-6.0,-50.0,56.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrMed_1,-6.0,9.0,41.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrMed_2,-11.0,-3.0,71.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnB_IPL_1,-61.0,-38.0,39.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_PFCl_1,-27.0,46.0,29.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_PFCl_2,-38.0,33.0,36.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_Ins_1,-33.0,24.0,-1.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_Ins_2,-44.0,11.0,2.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_PFCmp_1,-6.0,30.0,25.0,SalVentAttnB,L,cortical
17Networks_LH_LimbicB_OFC_1,-24.0,22.0,-20.0,LimbicB,L,cortical
17Networks_LH_LimbicB_OFC_2,-8.0,23.0,-20.0,LimbicB,L,cortical
17Networks_LH_LimbicB_OFC_3,-11.0,48.0,-21.0,LimbicB,L,cortical
17Networks_LH_LimbicB_OFC_4,-19.0,63.0,-8.0,LimbicB,L,cortical
17Networks_LH_LimbicA_TempPole_1,-29.0,-4.0,-40.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_2,-52.0,-17.0,-34.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_3,-39.0,-20.0,-28.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_4,-27.0,10.0,-34.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_5,-42.0,7.0,-19.0,LimbicA,L,cortical
17Networks_LH_ContA_Temp_1,-60.0,-52.0,-9.0,ContA,L,cortical
17Networks_LH_ContA_IPS_1,-33.0,-66.0,48.0,ContA,L,cortical
17Networks_LH_ContA_IPS_2,-45.0,-41.0,46.0,ContA,L,cortical
17Networks_LH_ContA_IPS_3,-30.0,-58.0,48.0,ContA,L,cortical
17Networks_LH_ContA_IPS_4,-33.0,-48.0,47.0,ContA,L,cortical
17Networks_LH_ContA_PFCd_1,-27.0,5.0,56.0,ContA,L,cortical
17Networks_LH_ContA_PFClv_1,-41.0,41.0,14.0,ContA,L,cortical
17Networks_LH_ContA_PFCl_1,-51.0,7.0,20.0,ContA,L,cortical
17Networks_LH_ContA_PFCl_2,-45.0,21.0,25.0,ContA,L,cortical
