region,x,y,z,hemisphere,structure
Cerebelum_8_R,25.77,-57.63,-50.8,R,cerebellum
Cerebelum_9_L,-10.25,-50.19,-47.24,L,cerebellum
Cerebelum_9_R,10.19,-50.75,-47.62,R,cerebellum
Cerebelum_10_L,-21.79,-35.0,-43.07,L,cerebellum
Cerebelum_10_R,26.81,-35.02,-42.64,R,cerebellum
Vermis_1_2,1.51,-40.11,-21.36,M,cerebellum
Vermis_3,2.05,-41.29,-12.72,M,cerebellum
Vermis_4_5,1.83,-53.59,-7.4,M,cerebellum
Vermis_6,1.77,-68.35,-16.39,M,cerebellum
Vermis_7,1.87,-73.2,-26.35,M,cerebellum
Vermis_8,1.81,-65.65,-35.35,M,cerebellum
Vermis_9,1.61,-56.17,-36.3,M,cerebellum
Vermis_10,1.14,-47.12,-32.88,M,cerebellum
